"vuosi","syrtun","oty","toimiala","SLHKY","sllvy"
1,"0001498",1,"G","1","2"
1,"0001500",5,"G","5","7"
1,"0001501",1,"G","2","5"
1,"0001504",1,"D","4","6"
1,"0001506",1,"H","1","4"
1,"0001510",1,"G","1","4"
1,"0001511",1,"D","1","4"
1,"0001513",1,"F","5","5"
1,"0001523",1,"I","2","4"
1,"0001526",1,"F","1","3"
1,"0001527",1,"G","1","4"
1,"0001528",1,"D","5","6"
1,"0001529",1,"K","7","1"
1,"0001530",1,"G","4","6"
1,"0001533",1,"R","1","1"
1,"0001537",2,"D","8","8"
1,"0001538",1,"M","1","1"
1,"0001539",1,"M","4","6"
1,"0001540",1,"G","4","6"
1,"0001542",1,"I","4","5"
1,"0001544",1,"M","5","6"
1,"0001547",1,"F","1","4"
1,"0001551",1,"S","4","1"
1,"0001555",1,"D","7","7"
1,"0001556",1,"D","7","7"
1,"0001558",1,"G","1","5"
1,"0001564",1,"R","1","1"
1,"0001568",1,"F","1","4"
1,"0001570",1,"S","2","1"
1,"0001573",1,"C","1","4"
1,"0001575",1,"G","3","6"
1,"0001578",1,"I","6","6"
1,"0001582",1,"G","1","3"
1,"0001587",1,"G","4","6"
1,"0001589",1,"S","4","1"
1,"0001590",1,"D","3","5"
1,"0001594",1,"P","4","1"
1,"0001595",1,"G","2","5"
1,"0001597",5,"G","5","7"
1,"0001599",1,"I","4","5"
1,"0001605",1,"D","5","6"
1,"0001611",1,"G","1","4"
1,"0001614",1,"D","9","9"
1,"0001615",5,"D","7","7"
1,"0001621",1,"G","1","4"
1,"0001624",1,"D","5","6"
1,"0001625",1,"D","7","7"
1,"0001627",1,"D","7","7"
1,"0001628",1,"I","8","7"
1,"0001632",1,"D","9","8"
1,"0001637",5,"G","1","4"
1,"0001639",1,"I","2","4"
1,"0001642",1,"D","5","6"
1,"0001646",3,"K","1","1"
1,"0001651",1,"P","1","4"
1,"0001652",1,"D","6","7"
1,"0001653",1,"G","1","2"
1,"0001654",1,"I","1","3"
1,"0001657",1,"A","5","6"
1,"0001659",1,"D","5","6"
1,"0001660",1,"M","2","4"
1,"0001661",5,"G","7","8"
1,"0001664",1,"H","4","1"
1,"0001668",1,"G","4","6"
1,"0001669",2,"I","7","7"
1,"0001670",1,"D","6","6"
1,"0001671",1,"P","7","1"
1,"0001672",1,"I","2","5"
1,"0001674",1,"G","7","8"
1,"0001681",1,"L","1","1"
1,"0001682",1,"D","7","7"
1,"0001686",1,"F","4","6"
1,"0001689",1,"D","6","7"
1,"0001692",1,"F","3","5"
1,"0001700",1,"D","2","5"
1,"0001704",1,"D","7","7"
1,"0001708",1,"P","3","1"
1,"0001712",1,"J","5","6"
1,"0001719",1,"L","3","4"
1,"0001722",1,"G","3","5"
1,"0001724",1,"G","3","5"
1,"0001727",1,"G","4","6"
1,"0001731",1,"I","1","3"
1,"0001732",3,"H","2","4"
1,"0001737",3,"N","8","1"
1,"0001741",1,"K","5","1"
1,"0001742",1,"F","1","4"
1,"0001745",1,"A","3","1"
1,"0001748",1,"M","1","4"
1,"0001750",1,"R","6","6"
1,"0001755",1,"G","1","2"
1,"0001756",1,"M","1","4"
1,"0001757",1,"R","6","5"
1,"0001759",1,"I","1","3"
1,"0001760",3,"N","8","1"
1,"0001762",1,"T","1","4"
1,"0001763",3,"N","5","1"
1,"0001764",1,"I","1","4"
1,"0001765",1,"J","9","9"
1,"0001766",1,"K","8","1"
1,"0001768",1,"D","6","6"
1,"0001771",1,"D","1","3"
1,"0001774",1,"K","8","1"
1,"0001775",1,"D","4","5"
1,"0001776",1,"G","3","6"
1,"0001781",5,"D","5","7"
1,"0001782",1,"M","1","1"
1,"0001783",1,"G","1","4"
1,"0001786",3,"N","7","1"
1,"0001788",1,"G","1","4"
1,"0001791",1,"F","1","4"
1,"0001793",1,"S","3","1"
1,"0001796",3,"N","6","1"
1,"0001799",1,"I","7","7"
1,"0001800",1,"M","2","4"
1,"0001803",1,"D","1","4"
